测试类型,块大小,测试结果

read,4096B,[IOPS=5823--read=22.7MiB/s]
read,16.0KiB,[IOPS=5486--read=85.7MiB/s]
read,32.0KiB,[IOPS=4753--read=149MiB/s]
read,64.0KiB,[IOPS=4830--read=302MiB/s]
read,128KiB,[IOPS=3943--read=493MiB/s]
read,256KiB,[IOPS=2899--read=725MiB/s]
read,512KiB,[IOPS=1650--read=825MiB/s]
read,1024KiB,[IOPS=707--read=708MiB/s]
write,4096B,[IOPS=5328--write=20.8MiB/s]
write,16.0KiB,[IOPS=4941--write=77.2MiB/s]
write,32.0KiB,[IOPS=4625--write=145MiB/s]
write,64.0KiB,[IOPS=4375--write=273MiB/s]
write,128KiB,[IOPS=3750--write=469MiB/s]
write,256KiB,[IOPS=2701--write=675MiB/s]
write,512KiB,[IOPS=1431--write=716MiB/s]
write,1024KiB,[IOPS=635--write=635MiB/s]
randread,4096B,[IOPS=5861--read=22.9MiB/s]
randread,16.0KiB,[IOPS=5523--read=86.3MiB/s]
randread,32.0KiB,[IOPS=5098--read=159MiB/s]
randread,64.0KiB,[IOPS=4850--read=303MiB/s]
randread,128KiB,[IOPS=4093--read=512MiB/s]
randread,256KiB,[IOPS=2940--read=735MiB/s]
randread,512KiB,[IOPS=1408--read=704MiB/s]
randread,1024KiB,[IOPS=623--read=624MiB/s]
randwrite,4096B,[IOPS=5149--write=20.1MiB/s]
randwrite,16.0KiB,[IOPS=4605--write=72.0MiB/s]
randwrite,32.0KiB,[IOPS=4507--write=141MiB/s]
randwrite,64.0KiB,[IOPS=4270--write=267MiB/s]
randwrite,128KiB,[IOPS=3563--write=445MiB/s]
randwrite,256KiB,[IOPS=2542--write=636MiB/s]
randwrite,512KiB,[IOPS=1302--write=651MiB/s]
randwrite,1024KiB,[IOPS=575--write=575MiB/s]
randrw,4096B,[IOPS=3840--read=15.0MiB/s][IOPS=1647--write=6590KiB/s]
randrw,16.0KiB,[IOPS=3646--read=57.0MiB/s][IOPS=1568--write=24.5MiB/s]
randrw,32.0KiB,[IOPS=3381--read=106MiB/s][IOPS=1452--write=45.4MiB/s]
randrw,64.0KiB,[IOPS=3225--read=202MiB/s][IOPS=1389--write=86.8MiB/s]
randrw,128KiB,[IOPS=2491--read=311MiB/s][IOPS=1078--write=135MiB/s]
randrw,256KiB,[IOPS=2069--read=517MiB/s][IOPS=903--write=226MiB/s]
randrw,512KiB,[IOPS=1000--read=500MiB/s][IOPS=437--write=219MiB/s]
randrw,1024KiB,[IOPS=422--read=423MiB/s][IOPS=187--write=187MiB/s]